dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
SonyAIBORobotSurface1,0.5024958403,0.4675540765,0.8019966722,0.4475873544,0.7687188020000001,0.8252911814,0.8369384359,0.8652246256,0.42928452580000004,0.9351081531000001,0.6738768719,0.7021630616,0.7038269551,0.6938435940000001,0.7637271215,0.7554076539,0.4958402662,0.8336106489,0.8951747088,0.8785357737
SonyAIBORobotSurface2,0.3997901364,0.9139559286000001,0.6096537251,0.8677859391,0.6149003148000001,0.8803777545,0.6054564533,0.7429171039,0.6169989507,0.9139559286000001,0.6169989507,0.6285414481,0.7523609654000001,0.7817418678,0.7932843652,0.7943336831000001,0.7271773347,0.9464847849,0.7649527807000001,0.9129066107
StandWalkJump,0.4,0.33333333330000003,0.2,0.33333333330000003,0.33333333330000003,,0.2666666667,0.33333333330000003,0.33333333330000003,0.33333333330000003,0.4,0.33333333330000003,0.4666666667,0.4,0.33333333330000003,0.4666666667,0.4666666667,0.33333333330000003,0.4,0.5333333333
StarlightCurves,0.29201068480000003,0.97486644,0.2821758135,0.3098591549,,,,,0.5772219524000001,0.9309130646,0.6548081593,0.8046381739,0.9294560466,0.9618746965,0.9500971345,0.9604176785,0.3532054395,0.9493686255,0.28885381250000003,0.2801117047
Strawberry,0.6432432432,0.9756756757,0.6432432432,0.9648648649,0.6432432432,0.9216216216,0.6432432432,0.6432432432,0.7405405405000001,0.9405405405,0.7702702703000001,0.7810810811000001,0.8945945946,0.9486486486000001,0.9135135135,0.9567567568,0.6432432432,0.9648648649,0.6432432432,0.6432432432
Trace,0.31,1.0,0.41000000000000003,0.7000000000000001,0.52,0.53,0.5,0.48,0.30000000000000004,1.0,0.22,0.19,0.67,0.99,0.71,0.68,0.24,1.0,0.33,0.4
TwoLeadECG,0.5057067603000001,0.9964881475,0.5004389816,0.6453028973,0.6251097454,0.9438103600000001,0.6654960492,0.6663740123,0.5004389816,0.9982440737,0.5188762072,0.6189640035,0.7357330992000001,0.7462686567,0.8349429324000001,0.9455662862,0.5004389816,0.9982440737,0.5294117647000001,0.6374012291000001
UWaveGestureLibrary,0.10625000000000001,0.8468749999999999,0.146875,0.18437499999999998,,,,,0.125,0.8843749999999999,0.125,0.128125,0.40312499999999996,0.85,0.61875,0.7125,0.08750000000000001,0.8125,0.190625,0.2625
Wafer,0.9317001947,0.996917586,0.9842634653000001,0.9876703439000001,0.9368916288,0.9948085659,0.95798183,0.9101232966,0.9505191434,1.0,1.0,0.9959441921000001,0.9957819598000001,0.9944841012000001,0.9923750811000001,0.9944841012000001,0.9944841012000001,0.9996755354,0.8926022064,0.8921155094000001
Wine,0.6296296296,0.7407407407000001,0.537037037,0.7222222222,0.48148148150000003,0.5925925926,0.5555555556,0.7037037037,0.5925925926,0.7592592593,0.5740740741,0.6481481481,0.6666666667000001,0.7222222222,0.5925925926,0.5925925926,0.5,0.7962962963,0.5,0.5740740741
