dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
NonInvasiveFetalECGThorax2,0.8253793994177681,0.7435669920880704,0.7504306220028036,0.6326208484052829,,,,,0.8245701781819335,0.39758179231614943,0.7667020148564886,0.7363766048607707,0.8829989440405395,0.8186024987997882,0.8236130868018356,0.7756771109545907,0.8185771685178876,0.8555240793542802,0.6710990502031902,0.551315508024627
OliveOil,0.827272727273967,0.7647058824048443,0.840000000024,0.8909090908644628,0.8222222222222222,0.3953488372417523,0.6799999999999999,0.6,0.8461538461573964,0.8181818181818182,0.8999999999625,0.8500000000000001,0.8545454545404958,0.7647058824048443,0.8,0.8500000000000001,0.8206896551717003,0.8181818181818182,0.6774193548412071,0.5800000000000001
PEMS-SF,,,,,,,,,,,,,0.9267399267464262,0.9659090908364864,0.9326923077554873,0.9284182748529195,,,,
Phoneme,0.8215258855574393,0.18648310390717304,0.6815834767641645,0.5716872924872627,0.8184202856305174,0.008510638282208327,0.6674373110457017,0.5399376742694293,0.8218735579132384,0.1606978879859633,0.6804583068083877,0.5679692883116787,0.820646847434966,0.11007025761930034,0.6783794956582294,0.5629177009701691,0.8225365505760815,0.17837165939235056,0.6835150313846502,0.5759356634743791
PigAirwayPressure,0.8211382113810827,0.8654708520447063,0.6821322803586232,0.5698729582601797,,,,,0.8207171314737735,0.6573705179705465,0.6801541425800349,0.6052631579001385,0.8199233716484255,0.12432432435349594,0.673110720564446,0.5483359746387215,0.8247914183561302,0.4699646642860218,0.7004830917816145,0.5987261146429308
PigArtPressure,0.9677419355271593,0.9622641510026344,0.9906103286531684,0.9724770642622002,,,,,0.8928571428505102,0.9259259258545953,0.8839590443996133,0.9318181817577479,0.8214654282772826,0.25301204815653944,0.6817288801610245,0.5762711864327109,0.9268292682864961,1.0,0.9495798320032766,0.9394812679369017
PigCVP,0.8571428571428571,0.9082568806919282,0.857585139299746,0.896551724137931,0.818423383524852,,0.6685902720554759,,0.8261964735503176,0.6186770427713243,0.7055837563441056,0.716216216233309,0.8210313447918693,0.16201117315319746,0.6775396085764038,0.5597269624606087,0.8315629742010394,0.8738738738873792,0.7391304347826086,0.7843942504880891
Plane,0.8232044198896309,1.0,0.6770642201831327,0.6028713417951879,0.8267515923573694,1.0,0.6884210526278559,0.6215439856416795,0.8234636871503136,1.0,0.719999999994,0.6581667815108087,0.9076923077005917,0.981132075518423,0.965217391383743,0.9321477428105043,0.8213197969542065,1.0,0.6770642201831327,0.8329966329813806
PowerCons,0.8382978723420552,0.8556701030545224,0.7548387096674297,0.7373966942001076,0.8439024390201071,0.9889502761551846,0.738461538456213,0.6867021276432606,0.8367346938805498,0.8848167539464379,0.7152000000073728,0.6761986301319143,0.8580645161365245,0.9889502761551846,0.7846153846295858,0.752801724105793,0.8356435643571414,0.9251336898189826,0.72521739130217,0.6528391167364568
RacketSports,0.8237129485188286,0.6795580110274534,0.68249660787019,0.5769728331103969,0.8268551236751014,0.27731092435686744,0.688500727804099,0.5866302864958977,,,,,0.8404255319153237,0.8203592814807272,0.7591623036799211,0.7571801566728849,0.8268551236751014,0.7777777777777778,0.6962025316419164,0.6094946401263613
RefrigerationDevices,0.8346420323345636,0.37362637362637363,0.7090909090958677,0.6276559864996772,0.8285714285714285,0.2998266897465376,0.7041666666666666,0.6224052718378256,0.8338600451448159,0.38888888888888895,0.7102941176521276,0.6307692307692307,0.8349650349650349,0.4150943396560164,0.7204819277108434,0.6347826086854442,0.8279329608938547,0.33689839572192515,0.7023890785026616,0.611930926224958
Rock,0.8303030303030303,0.8181818181818182,0.7052631578947368,0.6499999999999999,0.825,0.2987012987012987,0.6888888888888889,0.573076923076923,0.8238095238095238,0.7857142857142858,0.6833333333333333,0.5800000000000001,0.832258064516129,0.5873015873015872,0.725,0.6647058823529413,0.8232558139534883,0.6666666666666667,0.7025641025641025,0.5607142857142857
ScreenType,0.8289017341040462,0.3274336282892162,0.7045296167292914,0.6086553322948742,0.827223230488783,,0.6909090909090909,,0.8267379679144384,0.3204225351822091,0.699009900990099,0.6017937219730942,0.8283553875249695,0.2776831346098315,0.7020408163265306,0.6106084243287595,0.8306748466257668,0.363636363605372,0.7013513513556313,0.6093023255813954
SelfRegulationSCP1,0.8429933969195398,0.6460674157932207,0.7496807151870603,0.6915422885783262,,,,,,,,,0.8578479763073108,0.6647727272911722,0.8262548262851829,0.7938760269122098,0.8446306169072668,0.6647727272911722,0.8451882845047225,0.7590197413301578
SelfRegulationSCP2,0.8330275229333558,0.3584905660582415,0.7230769230769231,0.65511811022015,0.8302521008408446,,,,,,,,0.8349514563120369,0.31386861315786674,0.719999999994,0.636496350368416,0.8330275229333558,0.4342629482528849,0.719999999994,0.653125000003955
SemgHandGenderCh2,0.8485829959474831,0.788375558920667,0.7454545454545455,0.7406940063306433,,,,,0.8267857142845185,0.6830294530626375,0.7514195583691747,0.7913043478260869,0.8597014925373134,0.8662519439543934,0.8681564246109672,0.8408163265665973,0.8444444444444444,0.6506189820728854,0.7476923076832189,0.677634961453863
SemgHandMovementCh2,0.8216346153856555,0.47540983601719977,0.6774193548412071,0.5610337972134984,,,,,0.8226130653277695,0.31004366809366724,0.6957446808459711,0.5901408450637275,0.8364372469628252,0.7307692307026628,0.738461538456213,0.7079847908979456,0.8216346153856555,0.17340286834871976,0.6774193548412071,0.5623246492969707
SemgHandSubjectCh2,0.8244565217384658,0.6042780748234151,0.6843091334884741,0.596601941738029,,,,,0.8253521126756993,0.41065830718792073,0.7165048543632765,0.653125000003955,0.8422535211297362,0.8404907974895555,0.7894736842204986,0.7476394849636206,0.8222222222222222,0.47058823529411764,0.6799999999999999,0.5820224719080671
SmallKitchenAppliances,0.8533807829134002,0.6375545851975316,0.7639344262295081,0.6903225806451613,0.8273224043715847,,0.7038062283692126,0.5942446043095595,0.8309278350499522,0.6411378555349798,0.6946372239784951,0.6132701421800948,0.8461538461573964,0.708428245965022,0.750000000009375,0.6783505154495696,0.8383631713579516,0.5625,0.7485148514759582,0.6380952380952382
SonyAIBORobotSurface1,0.8334725703165677,0.30510314871805666,0.8010033444750508,0.6111653328104967,0.8603716725269751,0.7025495751224287,0.820348304283637,0.8140068886109388,0.8298189034983203,0.878125000038443,0.7520556609797896,0.7010854439368311,0.8504829903433948,0.5312101910710991,0.7833714721736937,0.7305224564558015,0.833103828145258,0.714693295265288,0.8624454148311169,0.8270825108460694
SonyAIBORobotSurface2,0.8285628652775237,0.8415458936411631,0.7269152115830011,0.8128828661196545,0.8412286394120299,0.7863167760719524,0.7258951972632148,0.7148883555275414,0.8414077775379276,0.8415458936411631,0.7287349813362295,0.6561855044488893,0.8575309387307797,0.6416881998466827,0.7916551255446199,0.7496007665238329,0.8536448072005133,0.8984063745203332,0.7781812180260936,0.8630786679001471
StandWalkJump,0.8285714285714285,0.19999999997599993,0.6799999999999999,0.5862068965453032,0.8260869565206049,,0.6857142857173468,0.5862068965453032,0.8260869565206049,0.19999999997599993,0.7,0.5862068965453032,0.8315789473700831,0.2500000000000001,0.692307692304142,0.61600000000864,0.8315789473700831,0.19999999997599993,0.7,0.6347826086854442
StarlightCurves,0.8247528025727041,0.9509652966585154,0.6871626627154699,0.5817923186289935,,,,,0.8382571534742462,0.8707552527070195,0.7467373390938571,0.7633707534897187,0.9172718211421502,0.9265497076866117,0.9201243804865454,0.9300629290856651,0.8267811270433054,0.9036172424907915,0.6878014978249579,0.5764899164246737
Strawberry,0.8437869822443752,0.9525065963524343,0.7436893203771893,0.9370967742498569,0.8437869822443752,0.8546365914415112,0.7436893203771893,0.674074074056028,0.8556390977380859,0.8877551019685809,0.7861635220254579,0.7468750000126465,0.8973684210551939,0.9023136245906386,0.8792452830056959,0.924409448884965,0.8437869822443752,0.9321148825721084,0.7436893203771893,0.674074074056028
Trace,0.8253164556962025,1.0,0.7012658227848101,0.7,0.8344827586206897,0.3605442176870749,0.7142857142857142,0.6195121951219513,0.825,1.0,0.6816326530612244,0.5621621621621622,0.8465116279069768,0.9801980198019802,0.763265306122449,0.6903225806451613,0.8232558139534883,1.0,0.6919540229885057,0.6
TwoLeadECG,0.8336534200020448,0.9930008748949979,0.7043022061709132,0.6691542617220437,0.8421149935301283,0.8935993350588064,0.7419822957582111,0.6786206332140619,0.8333577390561053,0.996494303145307,0.707618237020417,0.6581331232721102,0.8549047963349845,0.5952380952172052,0.8151642126474089,0.9073935772733659,0.8333577390561053,0.996494303145307,0.7095937770083873,0.6657572869822799
UWaveGestureLibrary,0.820125786163522,0.7344173441734416,0.6759643916913947,0.561344537815126,,,,,0.8205128205128205,0.7927170868347337,0.6744186046511628,0.5536000000000001,0.8286995515695067,0.7391304347826086,0.7376344086021506,0.7063829787234042,0.8197530864197531,0.6842105263157895,0.6792569659442724,0.5734939759036145
Wafer,0.9188355504294811,0.9938541161583958,0.9707209797351427,0.9763141491193159,0.9226178635275343,0.9896707553926817,0.9299747657083615,0.8616844208188716,0.933796396775532,1.0,1.0,0.9919965852426661,0.9919053549809509,0.9890287188763843,0.9852844703897556,0.9891673746178216,0.9895448953897364,0.9993512812862579,0.8578847294419252,0.841301407992295
Wine,0.8425196850366916,0.588235294066263,0.7206703910547112,0.7115384615264793,0.8323353293422855,0.4210526315864266,0.724137931043044,0.7018633540353922,0.839416058394736,0.6119402985603921,0.7278106508928679,0.6761363636159672,0.8461538461573964,0.5652173912771266,0.7317073170747769,0.6544502617827691,0.8333333333333333,0.661538461543574,0.7142857142857142,0.6479591836823251
